Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lindsi Cutshall,,us USA,DF,23-286,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Caitlin Foord,,au AUS,"DF,FW",19-262,90,0,0,0,0,1,1,0,0,1,2,,,,,0,,
Katy Freels,,us USA,MF,24-114,90,0,0,0,0,3,2,0,0,2,2,,,,,0,,
Maya Hayes,,us USA,FW,22-127,80,0,0,0,0,4,1,0,0,2,2,,,,,0,,
Nanase Kiryū,,jp JPN,FW,24-273,10,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Camille Levin,,us USA,DF,24-098,90,0,0,0,0,1,1,1,0,1,1,,,,,0,,
Jillian Loyden,,us USA,GK,29-036,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nadia Nadim,,dk DEN,"FW,MF",26-210,90,0,1,0,0,2,1,1,0,3,0,,,,,0,,
Ashley Nick,,us USA,MF,26-277,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Kelley O'Hara,,us USA,"DF,FW",25-361,90,1,0,0,0,7,5,0,0,1,2,,,,,0,,
Christie Pearce,,us USA,DF,39-037,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Sophie Schmidt,,ca CAN,MF,26-033,90,0,0,0,0,2,0,0,0,0,4,,,,,0,,
12 Players,,,,,990,1,1,0,0,21,12,2,0,10,16,,,,,0,,
