Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Francisca Ordega,14.0,ng NGA,FW,23-206,90,0,0,0,0,,,0,0,,,,,,,0,,
Cheyna Matthews,20.0,jm JAM,FW,23-184,80,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Kleiner,22.0,us USA,DF,24-042,10,0,0,0,0,,,0,0,,,,,,,0,,
Meggie Dougherty Howard,29.0,us USA,AM,21-290,90,0,0,0,0,,,0,0,,,,,,,0,,
Line Jensen,7.0,dk DEN,DM,25-263,72,0,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,19.0,us USA,"DF,MF",26-077,18,1,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,23.0,us USA,DM,27-232,90,0,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,6.0,us USA,DM,25-007,58,0,0,0,0,,,0,0,,,,,,,0,,
Arielle Ship,2.0,us USA,FW,22-011,32,0,0,0,0,,,0,0,,,,,,,0,,
Havana Solaun,9.0,jm JAM,DM,24-079,90,1,0,1,1,,,0,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,24-201,90,0,0,0,0,,,0,0,,,,,,,0,,
Whitney Church,5.0,us USA,CB,24-013,90,0,1,0,0,,,0,0,,,,,,,0,,
Estelle Johnson,24.0,cm CMR,CB,28-296,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Labbé,1.0,ca CAN,GK,30-215,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,1,1,1,,,0,0,,,,,,,0,,
