Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Nadine Angerer,,de GER,GK,36-166,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,,us USA,DF,21-278,58,0,0,0,0,,,0,0,,,,,,,0,,
Kendall Johnson,,us USA,"DF,MF",24-001,32,0,0,0,0,,,0,0,,,,,,,0,,
Sinead Farrelly,,ie IRL,MF,25-160,90,0,0,0,0,,,0,0,,,,,,,0,,
Tobin Heath,,us USA,"FW,MF",26-331,90,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,,us USA,"FW,MF",27-255,90,0,1,0,0,,,0,0,,,,,,,0,,
Emily Menges,,us USA,DF,22-271,90,0,0,0,0,,,0,0,,,,,,,0,,
Courtney Niemiec,,us USA,DF,23-012,90,0,0,0,0,,,0,0,,,,,,,0,,
Meleana Shim,,us USA,MF,23-212,89,1,0,0,0,,,0,0,,,,,,,0,,
Sarah Jackson,,us USA,FW,23-142,1,0,0,0,0,,,0,0,,,,,,,0,,
Christine Sinclair,,ca CAN,"FW,MF",31-317,90,1,0,0,0,,,0,0,,,,,,,0,,
Kat Williamson,,us USA,DF,25-267,90,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,,us USA,MF,28-133,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,2,1,0,0,,,0,0,,,,,,,0,,
