Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Courtney Jones,,us USA,"DF,FW",24-081,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Julie King,,us USA,DF,24-293,90,0,0,0,0,0,0,1,0,0,0,,,,,0,,
Kristie Mewis,,us USA,"DF,MF",23-166,72,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Jazmine Reeves,,us USA,FW,22-192,18,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Alyssa Naeher,,us USA,GK,26-112,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Heather O'Reilly,,us USA,"FW,MF",29-220,90,1,0,0,0,3,2,0,0,1,0,,,,,0,,
Mollie Pathman,,us USA,"FW,MF",22-040,90,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Lianne Sanderson,,eng ENG,FW,26-188,90,0,1,0,0,0,0,0,0,0,0,,,,,0,,
Katie Schoepfer,,us USA,FW,25-273,57,0,0,0,0,1,0,0,0,1,0,,,,,0,,
Joanna Lohman,,us USA,"DF,MF",32-045,33,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nikki Washington,,us USA,"FW,MF",26-009,90,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Cat Whitehill,,us USA,DF,32-181,77,0,1,0,0,0,0,0,0,1,0,,,,,0,,
Bianca Sierra,,mx MEX,DF,22-046,13,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Rachel Wood,,us USA,"DF,MF",24-092,90,1,0,0,0,1,1,0,0,1,0,,,,,0,,
14 Players,,,,,990,2,2,0,0,8,6,1,0,4,0,,,,,0,,
