Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christen Press,23.0,us USA,FW,28-184,90,1,0,1,1,,,0,0,,,,,,,0,,
Sofia Huerta,11.0,us USA,DM,24-199,90,0,0,0,0,,,0,0,,,,,,,0,,
Vanessa DiBernardo,10.0,us USA,AM,25-047,85,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Proffitt,13.0,us USA,MF,22-313,5,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,DM,24-056,90,0,0,0,0,,,0,0,,,,,,,0,,
Julie Ertz,8.0,us USA,DM,25-086,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,LB,27-337,88,0,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,"DF,MF",24-188,2,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Gorden,14.0,us USA,RB,24-291,65,0,0,0,0,,,0,0,,,,,,,0,,
Casey Krueger,6.0,us USA,DF,26-312,25,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,26-021,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,23-136,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,7.0,us USA,FW,23-345,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,29-072,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,1,1,,,0,0,,,,,,,0,,
