Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yael Averbuch,10.0,us USA,"DF,MF",29-309,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Nicole Barnhart,18.0,us USA,GK,34-333,90,,,,,,,,,0,1,,,,,,,
Katie Bowen,21.0,nz NZL,"DF,MF",22-145,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Shea Groom,2.0,us USA,"FW,MF",23-187,90,2.0,0.0,,,4.0,2.0,,,0,1,1.0,,,,,,
Brittany Kolmel,13.0,us USA,DF,28-355,90,0.0,0.0,,,1.0,1.0,,,1,0,0.0,,,,,,
Mandy Laddish,7.0,us USA,MF,24-117,90,0.0,0.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Tiffany McCarty,20.0,us USA,FW,25-268,73,0.0,1.0,,,0.0,0.0,,,1,0,1.0,,,,,,
Lo'eau LaBonta,1.0,us USA,MF,23-173,17,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Heather O'Reilly,9.0,us USA,"FW,MF",31-249,89,0.0,1.0,,,4.0,1.0,,,2,0,0.0,,,,,,
Alex Arlitt,5.0,us USA,DF,23-013,1,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Becky Sauerbrunn,4.0,us USA,DF,31-093,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Desiree Scott,3.0,ca CAN,MF,29-038,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Frances Silva,11.0,us USA,"FW,MF",23-301,64,1.0,0.0,,,2.0,1.0,,,0,1,0.0,,,,,,
Caroline Kastor,23.0,us USA,FW,24-331,26,0.0,1.0,,,0.0,0.0,,,0,0,0.0,,,,,,
14 Players,,,,,990,3.0,3.0,,,11.0,5.0,,,6,6,2.0,,,,,,
