Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Amy Barczuk,,us USA,DF,24-270,90,0,0,0,0,,,0,0,,,,,,,0,,
Bia,,br BRA,MF,29-291,56,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Lazo,,us USA,DF,22-081,34,1,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,,us USA,DF,23-080,90,0,0,0,0,,,0,0,,,,,,,0,,
Julie King,,us USA,DF,25-277,57,0,0,0,0,,,0,0,,,,,,,0,,
Maddy Evans,,us USA,"DF,MF",24-095,33,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Marlborough,,us USA,FW,24-234,51,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie McCaffrey,,us USA,FW,22-157,39,0,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,,us USA,"DF,MF",24-150,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,,us USA,GK,27-096,90,0,0,0,0,,,0,0,,,,,,,0,,
Mollie Pathman,,us USA,"FW,MF",23-024,90,0,0,0,0,,,0,0,,,,,,,0,,
Rafinha,,br BRA,MF,26-341,90,0,1,0,0,,,0,0,,,,,,,0,,
Kyah Simon,,au AUS,"FW,MF",24-030,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Wood,,us USA,"DF,MF",25-076,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
