Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Josée Bélanger,9.0,ca CAN,FW,30-040,67,0.0,0.0,,,0.0,0.0,,,1,3,0.0,,,,,,
Jasmyne Spencer,23.0,us USA,"DF,FW",25-301,23,1.0,0.0,,,2.0,1.0,,,0,1,0.0,,,,,,
Steph Catley,7.0,au AUS,"DF,MF",22-149,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Kristen Edmonds,12.0,us USA,"DF,MF",29-032,90,0.0,0.0,,,2.0,2.0,,,1,0,0.0,,,,,,
Becky Edwards,14.0,us USA,"DF,MF",28-032,80,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Sarah Hagen,8.0,us USA,FW,26-218,10,0.0,1.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Maddy Evans,18.0,us USA,"DF,MF",25-063,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Jamia Fields,4.0,us USA,FW,22-273,90,0.0,0.0,,,1.0,0.0,,,3,0,0.0,,,,,,
Ashlyn Harris,1.0,us USA,GK,30-248,90,,,,,,,,,0,0,,,,,,,
Mônica,21.0,br BRA,DF,38-080,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Alex Morgan,,us USA,FW,26-357,90,0.0,0.0,,,7.0,2.0,,,0,2,0.0,,,,,,
Toni Pressley,3.0,us USA,DF,26-125,59,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Laura Alleway,5.0,au AUS,DF,26-208,31,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Sam Witteman,26.0,us USA,DF,22-118,90,0.0,0.0,,,0.0,0.0,,,1,2,0.0,,,,,,
14 Players,,,,,990,1.0,1.0,,,12.0,5.0,,,8,8,0.0,,,,,,
