Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Candace Chapman,5.0,ca CAN,DF,30-099,90,0,0,0,0,1,1,0,0,1,0,0,0,,,,,
Ashlyn Harris,1.0,us USA,GK,27-264,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Tori Huster,23.0,us USA,"DF,MF",23-290,90,0,0,0,0,1,1,0,0,0,3,0,0,,,,,
Ali Krieger,11.0,us USA,"DF,MF",28-347,90,0,0,0,0,0,0,0,0,2,1,0,0,,,,,
Lori Lindsey,6.0,us USA,MF,33-113,71,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Lindsay Taylor,17.0,us USA,FW,23-258,19,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Diana Matheson,8.0,ca CAN,MF,29-095,90,0,0,0,0,1,1,0,0,1,3,0,0,,,,,
Stephanie Ochs,22.0,us USA,FW,22-315,79,0,0,0,0,2,1,0,0,1,1,2,0,,,,,
Tiffany McCarty,14.0,us USA,FW,22-208,11,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Conny Pohlers,16.0,de GER,FW,34-236,90,0,0,0,0,2,0,1,0,1,2,0,0,,,,,
Toni Pressley,19.0,us USA,DF,23-141,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Julia Roberts,13.0,us USA,MF,22-153,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Lupita Worbis,7.0,mx MEX,"FW,MF",29-210,45,0,0,0,0,1,0,0,0,0,1,0,0,,,,,
Kika Toulouse,3.0,us USA,DF,24-068,45,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
14 Players,,,,,990,0,0,0,0,9,5,1,0,7,13,2,0,,,,,
