Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sabrina D'Angelo,,ca CAN,GK,21-336,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,,us USA,"DF,MF",21-334,86,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Hamilton,,us USA,"FW,MF",22-360,4,0,0,0,0,,,0,0,,,,,,,0,,
Jaelene Daniels,,us USA,DF,21-319,90,0,0,0,0,,,0,0,,,,,,,0,,
Becky Edwards,,us USA,"DF,MF",26-325,90,0,0,0,0,,,0,0,,,,,,,0,,
Whitney Engen,,us USA,DF,27-135,90,0,0,0,0,,,0,0,,,,,,,0,,
Brittany Kolmel,,us USA,DF,27-206,90,0,0,0,0,,,0,0,,,,,,,0,,
Camilla Kur Larsen,,dk DEN,FW,26-009,45,0,0,0,0,,,0,0,,,,,,,0,,
Jordan Angeli,,us USA,"DF,FW",28-316,45,1,0,0,0,,,1,0,,,,,,,0,,
Sydney Leroux,,us USA,"FW,MF",24-340,90,0,0,0,0,,,0,0,,,,,,,0,,
Sam Mewis,,us USA,MF,22-185,90,0,1,0,0,,,0,0,,,,,,,0,,
Toni Pressley,,us USA,DF,25-052,90,0,0,0,0,,,0,0,,,,,,,0,,
Jasmyne Spencer,,us USA,"DF,FW",24-228,58,0,0,0,0,,,0,0,,,,,,,0,,
Lynn Biyendolo,,us USA,"FW,MF",21-326,32,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
