Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Nina Burger,,at AUT,FW,26-190,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Arianna Romero,,mx MEX,DF,21-341,45,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Becky Edwards,,us USA,"DF,MF",26-044,90,0,0,0,0,1,1,0,0,0,0,,,,,1,,
Whitney Engen,,us USA,DF,26-219,90,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Meghan Klingenberg,,us USA,"DF,MF",25-337,66,0,0,0,0,1,0,0,0,2,0,,,,,0,,
Lindsay Elston,,us USA,"FW,MF",22-066,24,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kaylyn Kyle,,ca CAN,MF,25-272,90,0,0,0,0,1,1,0,0,2,0,,,,,0,,
Ella Masar,,us USA,FW,28-093,65,0,0,0,0,0,0,0,0,3,0,,,,,0,,
Jordan Jackson,,us USA,MF,23-289,25,1,0,0,0,3,3,0,0,0,0,,,,,0,,
Tiffany McCarty,,us USA,FW,23-203,90,0,0,0,0,2,2,0,0,1,0,,,,,0,,
Erin McLeod,,ca CAN,GK,31-129,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Stephanie Ochs,,us USA,FW,23-310,90,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Osinachi Ohale,,ng NGA,DF,21-260,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Kealia Watt,,us USA,"FW,MF",22-155,90,0,1,0,0,2,1,0,0,0,0,,,,,0,,
14 Players,,,,,990,1,1,0,0,14,10,0,0,9,0,,,,,1,,
