Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yael Averbuch,,us USA,"DF,MF",27-230,90,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Niki Cross,,us USA,DF,29-022,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Robyn Gayle,,ca CAN,DF,28-233,90,0,0,0,0,0,0,1,0,3,1,,,,,0,,
Tori Huster,,us USA,"DF,MF",24-271,90,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Chantel Jones,,us USA,GK,25-336,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Ali Krieger,,us USA,"DF,MF",29-328,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Lisa De Vanna,,au AUS,FW,29-219,45,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Lori Lindsey,,us USA,MF,34-094,90,0,0,0,0,2,0,0,0,0,1,,,,,0,,
Diana Matheson,,ca CAN,MF,30-076,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Christine Nairn,,us USA,MF,23-269,90,1,0,0,0,3,2,0,0,0,1,,,,,0,,
Alex Singer,,us USA,DF,26-215,71,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Danesha Adams,,us USA,"FW,MF",28-015,19,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Jodie Taylor,,eng ENG,FW,28-035,90,0,0,0,0,4,3,0,0,2,2,,,,,0,,
13 Players,,,,,990,1,0,0,0,12,6,1,0,7,6,,,,,0,,
