Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christine Sinclair,12.0,ca CAN,FW,33-356,88,0,0,0,0,,,0,0,,,,,,,0,,
Kendall Johnson,15.0,us USA,"DF,MF",26-040,2,0,0,0,0,,,0,0,,,,,,,0,,
Mallory Weber,26.0,us USA,FW,23-060,65,0,0,0,0,,,0,0,,,,,,,0,,
Dagný Brynjarsdóttir,11.0,is ISL,MF,25-297,25,0,0,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,9.0,dk DEN,FW,29-152,90,0,1,0,0,,,0,0,,,,,,,0,,
Allie Long,10.0,us USA,CM,29-294,61,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Cox,27.0,us USA,DF,22-200,29,0,0,0,0,,,1,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,CM,23-008,90,2,0,0,0,,,1,0,,,,,,,0,,
Amandine Henry,28.0,fr FRA,CM,27-248,90,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,LB,28-305,90,0,1,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,24-310,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-190,90,0,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,RB,23-044,90,0,0,0,0,,,0,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-203,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,2,0,,,,,,,0,,
