Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,13.0,us USA,"DF,MF",26-341,90,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Nicole Barnhart,18.0,us USA,GK,31-287,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jen Buczkowski,6.0,us USA,"DF,MF",28-111,90,0,0,0,0,2,2,0,0,0,1,0,0,,,,,
Melissa Henderson,2.0,us USA,"FW,MF",23-335,64,0,0,0,0,1,1,0,0,1,0,2,0,,,,,
Teresa Noyola,10.0,mx MEX,"FW,MF",23-100,26,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Lauren Holiday,12.0,us USA,"FW,MF",25-297,90,0,2,0,0,4,1,0,0,0,1,0,0,,,,,
Merritt Mathias,9.0,us USA,"DF,MF",23-022,89,1,0,0,0,4,2,0,0,0,1,1,0,,,,,
Nia Williams,16.0,us USA,DF,22-308,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kristie Mewis,19.0,us USA,"DF,MF",22-149,90,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Becky Sauerbrunn,4.0,us USA,DF,28-048,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Desiree Scott,11.0,ca CAN,MF,25-358,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Lauren Sesselmann,14.0,ca CAN,"DF,FW",29-344,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Erika Tymrak,15.0,us USA,"FW,MF",21-351,78,0,0,0,0,1,0,0,0,0,1,1,0,,,,,
Courtney Jones,8.0,us USA,"DF,FW",23-064,12,1,0,0,0,1,1,0,0,0,0,0,0,,,,,
14 Players,,,,,990,2,2,0,0,16,8,0,0,3,5,4,0,,,,,
