Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Jazmyne Avant,5.0,us USA,DF,23-175,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Mariah Bullock,20.0,ws SAM,"DF,MF",22-152,74,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Carmelina Moscato,19.0,ca CAN,DF,29-083,16,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Julie King,8.0,us USA,DF,23-276,90,0,0,0,0,1,1,0,0,0,0,0,0,,,,,
Sydney Leroux,2.0,us USA,"FW,MF",23-078,87,0,0,0,0,1,0,0,0,1,1,1,0,,,,,
Maddy Evans,18.0,us USA,"DF,MF",22-094,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Joanna Lohman,11.0,us USA,"DF,MF",31-028,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kia McNeill,14.0,us USA,DF,27-070,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Heather O'Reilly,9.0,us USA,"FW,MF",28-203,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Ashley Phillips,24.0,us USA,GK,27-153,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lianne Sanderson,10.0,eng ENG,FW,25-171,90,0,0,0,0,3,1,0,0,1,0,0,0,,,,,
Katie Schoepfer,12.0,us USA,FW,24-256,61,0,0,0,0,2,1,0,0,0,0,0,0,,,,,
Rhian Wilkinson,7.0,ca CAN,"DF,FW",31-073,29,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Cat Whitehill,4.0,us USA,DF,31-164,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
14 Players,,,,,990,0,0,0,0,7,3,0,0,5,2,1,0,,,,,
