Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Natasha Dowie,9.0,eng ENG,FW,28-031,80,1.0,0.0,,,3.0,2.0,,,4,0,1.0,,,,,,
Rachel Wood,24.0,us USA,"DF,MF",26-082,10,0.0,0.0,,,1.0,0.0,,,0,1,1.0,,,,,,
Brooke Elby,23.0,us USA,MF,23-068,78,0.0,0.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Kylie Strom,30.0,us USA,DF,24-135,12,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Kassey Kallman,5.0,us USA,DF,24-086,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Julie King,8.0,us USA,DF,26-284,90,0.0,0.0,,,1.0,0.0,,,2,0,0.0,,,,,,
Jami Kranich,2.0,us USA,GK,24-065,90,,,,,,,,,0,0,,,,,,,
Elise Krieghoff,3.0,us USA,FW,22-256,22,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Brittany Ratcliffe,11.0,us USA,"FW,MF",22-175,90,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Angela Salem,26.0,us USA,"FW,MF",28-007,90,0.0,0.0,,,1.0,0.0,,,0,1,0.0,,,,,,
Louise Schillgard,10.0,se SWE,MF,26-282,90,0.0,0.0,,,0.0,0.0,,,2,1,1.0,,,,,,
Katie Schoepfer,88.0,us USA,FW,27-264,67,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Stephanie Verdoia,22.0,us USA,MF,23-211,90,0.0,0.0,,,0.0,0.0,,,1,3,0.0,,,,,,
Christen Westphal,21.0,us USA,DF,22-333,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
14 Players,,,,,989,1.0,0.0,,,7.0,2.0,,,11,9,3.0,,,,,,
