Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Alex Morgan,13.0,us USA,FW,28-314,90,1,0,0,0,,,0,0,,,,,,,0,,
Kristen Edmonds,12.0,us USA,FW,30-355,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Hill,15.0,us USA,FW,23-025,80,0,0,0,0,,,0,0,,,,,,,0,,
Sydney Leroux,2.0,us USA,"FW,MF",28-005,10,0,0,0,0,,,0,0,,,,,,,0,,
Christine Nairn,7.0,us USA,CM,27-229,71,1,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,MF,24-056,19,0,0,0,0,,,1,0,,,,,,,0,,
Toni Pressley,3.0,us USA,CM,28-082,63,0,0,0,0,,,0,0,,,,,,,0,,
Emily van Egmond,5.0,au AUS,MF,24-304,27,0,0,0,0,,,0,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,CM,23-111,90,0,0,0,0,,,0,0,,,,,,,0,,
Carson Pickett,16.0,us USA,LB,24-239,90,0,0,0,0,,,1,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,25-200,90,0,0,0,0,,,0,0,,,,,,,0,,
Mônica,21.0,br BRA,CB,40-038,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,RB,33-288,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,24.0,us USA,GK,32-205,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,0,0,0,,,2,0,,,,,,,0,,
