Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Michelle Betos,18.0,us USA,GK,28-197,90,,,,,,,,,0,0,,,,,,,
Lindsey Heaps,7.0,us USA,"FW,MF",22-101,90,0.0,0.0,,,2.0,2.0,,,2,0,1.0,,,,,,
Amandine Henry,28.0,fr FRA,MF,26-342,63,0.0,0.0,,,1.0,1.0,,,4,0,0.0,,,,,,
Meleana Shim,6.0,us USA,MF,24-345,27,0.0,0.0,,,0.0,0.0,,,1,0,1.0,,,,,,
Meghan Klingenberg,25.0,us USA,"DF,MF",28-033,90,0.0,0.0,,,1.0,0.0,,,2,0,0.0,,,,,,
Allie Long,10.0,us USA,"FW,MF",29-022,90,1.0,1.0,,,2.0,1.0,,,3,2,0.0,,,,,,
Emily Menges,4.0,us USA,DF,24-038,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Nadia Nadim,9.0,dk DEN,"FW,MF",28-246,90,3.0,1.0,,,4.0,3.0,,,3,4,0.0,,,,,,
Hayley Raso,21.0,au AUS,"FW,MF",21-365,62,0.0,0.0,,,1.0,0.0,,,2,3,2.0,,,,,,
Tobin Heath,17.0,us USA,"FW,MF",28-098,28,0.0,0.0,,,2.0,1.0,,,0,1,0.0,,,,,,
Katherine Reynolds,2.0,us USA,DF,28-356,90,0.0,0.0,,,0.0,0.0,,,0,2,0.0,,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",33-084,73,1.0,1.0,,,1.0,1.0,,,1,0,1.0,,,,,,
Celeste Boureille,30.0,us USA,"DF,MF",22-137,17,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Emily Sonnett,16.0,us USA,"DF,MF",22-284,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
14 Players,,,,,990,5.0,3.0,,,14.0,9.0,,,19,13,5.0,,,,,,
