Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Whitney Church,,us USA,DF,22-093,79,0,0,0,0,,,0,0,,,,,,,0,,
Josephine Chukwunonye,,ng NGA,DF,23-135,11,0,0,0,0,,,0,0,,,,,,,0,,
Crystal Dunn,,us USA,"DF,MF",23-029,66,3,0,0,0,,,0,0,,,,,,,0,,
Tori Huster,,us USA,"DF,MF",25-312,24,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,,us USA,GK,29-286,90,0,0,0,0,,,0,0,,,,,,,0,,
Estelle Johnson,,cm CMR,DF,27-011,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,,us USA,"DF,MF",31-004,90,0,0,0,0,,,0,0,,,,,,,0,,
Joanna Lohman,,us USA,"DF,MF",33-036,90,0,0,0,0,,,0,0,,,,,,,0,,
Diana Matheson,,ca CAN,MF,31-117,50,0,1,0,0,,,0,0,,,,,,,0,,
Hayley Raso,,au AUS,"FW,MF",20-330,40,0,0,0,0,,,0,0,,,,,,,0,,
Christine Nairn,,us USA,MF,24-310,90,0,1,0,0,,,0,0,,,,,,,0,,
Francisca Ordega,,ng NGA,"FW,MF",21-286,90,0,0,0,0,,,0,0,,,,,,,0,,
Megan Oyster,,us USA,DF,22-332,90,0,0,0,0,,,0,0,,,,,,,0,,
Katherine Reynolds,,us USA,DF,27-321,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,3,2,0,0,,,0,0,,,,,,,0,,
