Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Zakiya Bywaters,6.0,us USA,FW,21-312,66,1,0,0,0,2,1,0,0,0,1,0,0,,,,,
Alyssa Mautz,4.0,us USA,"FW,MF",23-307,24,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Lori Chalupny,17.0,us USA,MF,29-123,90,0,0,0,0,2,0,1,0,2,5,0,0,,,,,
Sonja Fuss,22.0,de GER,DF,34-208,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Inka Grings,21.0,de GER,FW,34-213,90,0,0,0,0,1,0,0,0,3,2,0,0,,,,,
Taryn Hemmings,14.0,us USA,"DF,FW",27-036,90,0,0,0,0,1,0,0,0,2,1,0,0,,,,,
Michelle Lomnicki,23.0,us USA,DF,26-029,90,0,1,0,0,1,0,0,0,1,0,0,0,,,,,
Ella Masar,3.0,us USA,FW,27-059,82,0,0,0,0,0,0,0,0,2,1,1,0,,,,,
Jessica McDonald,8.0,us USA,FW,25-093,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Jackie Santacaterina,18.0,us USA,DF,25-154,90,1,0,0,0,1,1,0,0,0,0,0,0,,,,,
Julianne Sitch,19.0,us USA,"DF,MF",29-256,90,0,0,0,0,2,0,0,0,0,1,0,0,,,,,
Taylor Vancil,20.0,us USA,GK,22-014,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lydia Vandenbergh,13.0,au AUS,"DF,MF",29-150,90,0,1,0,0,0,0,0,0,1,1,0,0,,,,,
13 Players,,,,,990,2,2,0,0,10,2,1,0,13,12,1,0,,,,,
