Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Katie Johnson,14.0,mx MEX,FW,23-275,81,0,0,0,0,,,0,0,,,,,,,0,,
Thaisa,5.0,br BRA,MF,29-181,9,0,0,0,0,,,0,0,,,,,,,0,,
Savannah McCaskill,21.0,us USA,FW,21-320,90,1,0,0,0,,,0,0,,,,,,,0,,
Carli Lloyd,10.0,us USA,AM,35-335,90,0,0,0,0,,,1,0,,,,,,,0,,
Imani Dorsey,28.0,us USA,DM,22-087,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Woldmoe,16.0,us USA,DM,25-324,90,0,0,0,0,,,0,0,,,,,,,0,,
Madison Tiernan,73.0,us USA,DM,22-348,59,1,0,0,0,,,0,0,,,,,,,0,,
Janine Sonis,12.0,ca CAN,"FW,MF",23-300,31,0,0,0,0,,,0,0,,,,,,,0,,
Christina Gibbons,31.0,us USA,LB,23-168,90,0,0,0,0,,,1,0,,,,,,,0,,
Domi Richardson,17.0,us USA,CB,25-241,90,0,0,0,0,,,0,0,,,,,,,0,,
Mandy Freeman,22.0,us USA,CB,23-085,90,0,0,0,0,,,0,0,,,,,,,0,,
Erica Skroski,8.0,us USA,RB,24-122,54,0,0,0,0,,,0,0,,,,,,,0,,
Amanda Frisbie,9.0,us USA,DF,26-018,36,0,0,0,0,,,0,0,,,,,,,0,,
Kailen Sheridan,1.0,ca CAN,GK,22-335,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,0,0,0,,,2,0,,,,,,,0,,
