Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Amy Rodriguez,8.0,us USA,FW,31-119,83,0,0,0,0,,,0,0,,,,,,,0,,
Elise Thorsnes,20.0,no NOR,FW,29-306,7,0,0,0,0,,,0,0,,,,,,,0,,
Diana Matheson,10.0,ca CAN,AM,34-071,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Stengel,24.0,us USA,AM,26-107,67,0,0,0,0,,,0,0,,,,,,,0,,
Lo'eau LaBonta,9.0,us USA,MF,25-090,23,0,0,0,0,,,0,0,,,,,,,0,,
Katrina Gorry,19.0,au AUS,AM,25-307,76,0,0,0,0,,,0,0,,,,,,,0,,
Brittany Ratcliffe,25.0,us USA,"FW,MF",24-129,14,1,0,0,0,,,0,0,,,,,,,0,,
Gunnhildur Yrsa Jónsdóttir,23.0,is ISL,DM,29-261,90,0,0,0,0,,,0,0,,,,,,,0,,
Desiree Scott,11.0,ca CAN,DM,30-320,90,0,0,0,0,,,1,0,,,,,,,0,,
Rebecca Moros,3.0,us USA,LB,33-041,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Corsie,2.0,sct SCO,CB,28-303,90,0,0,0,0,,,0,0,,,,,,,0,,
Becky Sauerbrunn,4.0,us USA,CB,33-010,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Bowen,6.0,nz NZL,RB,24-062,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Smith,1.0,us USA,GK,24-255,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,0,0,,,1,0,,,,,,,0,,
