Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachael Axon,,eng ENG,MF,29-203,90,0,0,0,0,,,0,0,,,,,,,0,,
Brittany Bock,,us USA,"DF,MF",28-050,82,0,0,0,0,,,0,0,,,,,,,0,,
Allie Bailey,,us USA,FW,21-249,8,1,0,0,0,,,0,0,,,,,,,0,,
Ellie Brush,,au AUS,DF,26-285,90,0,0,0,0,,,0,0,,,,,,,0,,
Niki Cross,,us USA,DF,30-001,90,0,0,0,0,,,0,0,,,,,,,0,,
Melissa Henderson,,us USA,"FW,MF",25-281,69,0,0,0,0,,,0,0,,,,,,,0,,
Jordan Jackson,,us USA,MF,24-254,21,0,0,0,0,,,0,0,,,,,,,0,,
Bianca Henninger,,mx MEX,GK,24-221,90,0,0,0,0,,,0,0,,,,,,,0,,
Ella Masar,,us USA,FW,29-058,90,0,0,0,0,,,0,0,,,,,,,0,,
Jessica McDonald,,us USA,FW,27-092,90,0,0,0,1,,,0,0,,,,,,,0,,
Toni Pressley,,us USA,DF,25-101,90,0,0,0,0,,,0,0,,,,,,,0,,
Cami Privett,,us USA,MF,22-076,59,0,0,0,0,,,0,0,,,,,,,0,,
Tiffany McCarty,,us USA,FW,24-168,31,0,0,0,0,,,0,0,,,,,,,0,,
Kealia Watt,,us USA,"FW,MF",23-120,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,0,1,,,0,0,,,,,,,0,,
