Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,25-364,90,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,,us USA,"DF,MF",24-127,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Cox,,us USA,DF,29-057,90,0,0,0,0,,,0,0,,,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",30-205,90,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",25-202,70,0,0,0,0,,,0,0,,,,,,,0,,
Mariah Bullock,,ws SAM,"DF,MF",24-097,20,0,0,0,0,,,0,0,,,,,,,0,,
Haley Kopmeyer,,us USA,GK,24-336,90,0,0,0,0,,,0,0,,,,,,,0,,
Kim Little,,sct SCO,"FW,MF",24-335,90,0,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",24-332,90,0,0,0,0,,,1,0,,,,,,,0,,
Elli Reed,,us USA,"DF,MF",25-293,76,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Corsie,,sct SCO,"DF,MF",25-286,14,0,0,0,0,,,0,0,,,,,,,0,,
Keelin Winters,,us USA,MF,26-172,90,0,0,0,0,,,0,0,,,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",26-315,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,0,0,0,0,,,1,0,,,,,,,0,,
