Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danielle Colaprico,,us USA,MF,22-077,90,0,0,0,0,,,0,0,,,,,,,0,,
Michele Dalton,,us USA,GK,26-259,90,0,0,0,0,,,0,0,,,,,,,0,,
Vanessa DiBernardo,,us USA,MF,23-068,90,0,0,0,0,,,0,0,,,,,,,0,,
Julie Ertz,,us USA,"DF,MF",23-107,90,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,,us USA,"DF,FW",22-220,90,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,,us USA,"DF,MF",24-042,90,0,0,0,0,,,0,0,,,,,,,0,,
Michelle Lomnicki,,us USA,DF,28-080,55,0,0,0,0,,,0,0,,,,,,,0,,
Taryn Hemmings,,us USA,"DF,FW",29-087,35,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,,us USA,"FW,MF",25-358,79,0,1,0,0,,,0,0,,,,,,,0,,
Jen Hoy,,us USA,"FW,MF",24-185,11,0,1,0,0,,,0,0,,,,,,,0,,
Rachel Quon,,ca CAN,DF,24-062,90,0,0,0,0,,,0,0,,,,,,,0,,
Melissa Tancredi,,ca CAN,FW,33-207,58,1,0,0,0,,,0,0,,,,,,,0,,
Christen Press,,us USA,FW,26-205,32,1,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,,us USA,"DF,MF",22-209,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,0,0,,,,,,,0,,
