Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Zakiya Bywaters,,us USA,FW,22-361,90,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Lori Chalupny,,us USA,MF,30-172,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Abby Erceg,,nz NZL,"DF,FW",24-242,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Julie Ertz,,us USA,"DF,MF",22-105,90,0,0,0,0,0,0,1,0,1,3,,,,,0,,
Karina LeBlanc,,ca CAN,GK,34-112,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Adriana Leon,,ca CAN,"FW,MF",21-291,74,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Jen Hoy,,us USA,"FW,MF",23-183,16,0,1,0,0,0,0,0,0,0,0,,,,,0,,
Michelle Lomnicki,,us USA,DF,27-078,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Kecia Morway,,us USA,DF,22-329,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Christen Press,,us USA,FW,25-203,90,1,0,0,0,2,1,0,0,0,0,,,,,0,,
Julianne Sitch,,us USA,"DF,MF",30-305,76,0,0,0,0,0,0,0,0,2,0,,,,,0,,
Taryn Hemmings,,us USA,"DF,FW",28-085,14,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Melissa Tancredi,,ca CAN,FW,32-205,70,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Vanessa DiBernardo,,us USA,MF,22-066,20,0,0,0,0,0,0,0,0,0,0,,,,,0,,
14 Players,,,,,990,1,1,0,0,3,2,1,0,6,5,,,,,0,,
