Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Alex Morgan,13.0,us USA,FW,28-294,90,0,0,0,0,,,0,0,,,,,,,0,,
Chioma Ubogagu,6.0,eng ENG,FW,25-224,80,1,0,0,0,,,0,0,,,,,,,0,,
Abby Elinsky,20.0,us USA,MF,22-104,10,0,0,0,0,,,0,0,,,,,,,0,,
Sydney Leroux,2.0,us USA,FW,27-350,89,0,0,0,0,,,0,0,,,,,,,0,,
Danica Evans,8.0,us USA,FW,22-324,1,0,0,0,0,,,0,0,,,,,,,0,,
Carson Pickett,16.0,us USA,LM,24-219,63,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Hill,15.0,us USA,"FW,MF",23-005,27,0,0,0,0,,,0,0,,,,,,,0,,
Christine Nairn,7.0,us USA,CM,27-209,90,0,1,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,CM,24-036,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Edmonds,12.0,us USA,RM,30-335,90,0,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,3.0,us USA,CB,28-062,90,0,0,0,0,,,0,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,25-180,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,CB,33-268,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,24.0,us USA,GK,32-185,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
