Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Danesha Adams,9.0,us USA,"FW,MF",27-016,76,0,0,0,0,2,1,0,0,0,1,0,0,,,,,
Sophie Schmidt,16.0,ca CAN,MF,24-359,14,0,0,0,0,2,1,0,0,1,0,0,0,,,,,
Brittany Cameron,1.0,us USA,GK,26-201,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lisa De Vanna,11.0,au AUS,FW,28-220,90,0,0,0,0,5,4,0,0,0,1,5,0,,,,,
Caitlin Foord,4.0,au AUS,"DF,FW",18-223,90,0,0,0,0,0,0,0,0,0,2,0,0,,,,,
Katy Freels,17.0,us USA,MF,23-075,90,0,0,0,0,3,1,0,0,0,2,0,0,,,,,
CoCo Goodson,2.0,us USA,DF,23-003,90,0,0,0,0,2,0,0,0,0,0,0,0,,,,,
Kendall Johnson,5.0,us USA,"DF,MF",22-059,90,0,0,0,0,1,0,0,0,0,1,0,0,,,,,
Taylor Lytle,6.0,us USA,MF,24-083,90,0,0,0,0,2,0,0,0,0,1,0,0,,,,,
Manya Makoski,22.0,us USA,MF,29-065,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kelley O'Hara,19.0,us USA,"DF,FW",24-322,90,0,0,0,0,3,0,0,0,0,0,0,0,,,,,
Christie Pearce,3.0,us USA,DF,37-363,90,0,0,0,0,0,0,0,0,1,2,0,0,,,,,
12 Players,,,,,990,0,0,0,0,20,7,0,0,2,10,5,0,,,,,
