Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Angie Kerr,8.0,us USA,"FW,MF",28-085,90,0,0,0,0,0,0,0,0,1,0,1,0,,,,,
Karina LeBlanc,1.0,ca CAN,GK,33-084,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Allie Long,10.0,us USA,"FW,MF",25-313,90,0,0,0,0,1,0,0,0,2,1,0,0,,,,,
Nikki Marshall,7.0,us USA,"DF,FW",25-020,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Alex Morgan,13.0,us USA,FW,23-355,90,0,0,0,0,3,1,0,0,1,0,1,0,,,,,
Emilee O'Neil,4.0,us USA,"DF,MF",30-088,64,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Casey Ramirez,15.0,us USA,DF,23-196,26,0,0,0,0,0,0,0,0,2,0,0,0,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",30-010,72,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Danielle Foxhoven,9.0,us USA,"FW,MF",23-225,18,0,0,0,0,0,0,0,0,0,0,1,0,,,,,
Rachel Van Hollebeke,16.0,us USA,DF,27-300,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Tiffany Weimer,19.0,us USA,FW,29-199,90,0,0,0,0,4,3,0,0,1,1,0,0,,,,,
Courtney Wetzel,20.0,us USA,"DF,MF",24-117,62,0,0,0,0,1,0,0,0,0,0,0,0,,,,,
Meleana Shim,6.0,us USA,MF,21-270,28,0,0,0,0,1,1,0,0,1,0,0,0,,,,,
Kat Williamson,5.0,us USA,DF,23-325,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
14 Players,,,,,990,0,0,0,0,10,5,0,0,10,2,3,0,,,,,
