Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,26-021,90,0,0,0,0,,,0,0,,,,,,,0,,
Mariah Bullock,,ws SAM,"DF,MF",24-119,78,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,,us USA,"DF,MF",24-149,12,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Corsie,,sct SCO,"DF,MF",25-308,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Cox,,us USA,DF,29-079,90,0,0,0,0,,,0,0,,,,,,,0,,
Jess Fishlock,,wls WAL,MF,28-158,90,1,0,0,0,,,0,0,,,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",30-227,90,0,0,0,0,,,0,0,,,,,,,0,,
Haley Kopmeyer,,us USA,GK,24-358,90,0,0,0,0,,,0,0,,,,,,,0,,
Kim Little,,sct SCO,"FW,MF",24-357,90,1,1,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",24-354,65,0,0,0,0,,,0,0,,,,,,,0,,
Elli Reed,,us USA,"DF,MF",25-315,25,0,1,0,0,,,0,0,,,,,,,0,,
Keelin Winters,,us USA,MF,26-194,90,0,0,0,0,,,0,0,,,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",26-337,69,1,0,0,0,,,0,0,,,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",25-224,21,0,0,0,0,,,1,0,,,,,,,0,,
14 Players,,,,,990,3,2,0,0,,,1,0,,,,,,,0,,
