Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Michelle Betos,,us USA,GK,27-050,90,0,0,0,0,,,0,0,,,,,,,0,,
Sinead Farrelly,,ie IRL,MF,25-146,90,1,0,0,0,,,0,0,,,,,,,0,,
Tobin Heath,,us USA,"FW,MF",26-317,90,0,0,0,0,,,0,0,,,,,,,0,,
Kendall Johnson,,us USA,"DF,MF",23-352,90,0,1,0,0,,,0,0,,,,,,,0,,
Allie Long,,us USA,"FW,MF",27-241,87,2,0,0,0,,,0,0,,,,,,,0,,
Sarah Robbins,,ca CAN,MF,22-255,3,0,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,,us USA,DF,22-257,90,0,0,0,0,,,0,0,,,,,,,0,,
Alex Morgan,,us USA,FW,25-283,74,0,0,0,0,,,0,0,,,,,,,0,,
Jodie Taylor,,eng ENG,FW,28-329,16,0,0,0,0,,,0,0,,,,,,,0,,
Meleana Shim,,us USA,MF,23-198,86,1,2,0,0,,,0,0,,,,,,,0,,
Courtney Niemiec,,us USA,DF,22-363,4,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Van Hollebeke,,us USA,DF,29-228,90,0,0,0,0,,,0,0,,,,,,,0,,
Kat Williamson,,us USA,DF,25-253,90,0,1,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,,us USA,MF,28-119,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,4,4,0,0,,,0,0,,,,,,,0,,
