Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Chioma Ubogagu,6.0,eng ENG,FW,24-231,81,0,0,0,0,,,0,0,,,,,,,0,,
Nickolette Driesse,20.0,pr PUR,MF,22-172,9,0,0,0,0,,,0,0,,,,,,,0,,
Jasmyne Spencer,23.0,us USA,FW,26-245,68,0,0,0,0,,,0,0,,,,,,,0,,
Danica Evans,8.0,us USA,FW,21-331,22,0,0,0,0,,,0,0,,,,,,,0,,
Marta,10.0,br BRA,FW,31-069,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Edmonds,12.0,us USA,CM,29-342,90,0,0,0,0,,,0,0,,,,,,,0,,
Mônica,21.0,br BRA,CM,39-025,69,0,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,MF,23-043,22,0,0,0,0,,,0,0,,,,,,,0,,
Camila,9.0,br BRA,CM,22-201,90,1,0,0,0,,,0,0,,,,,,,0,,
Steph Catley,7.0,au AUS,LB,23-093,90,0,0,0,0,,,0,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,CB,22-098,90,0,1,0,0,,,0,0,,,,,,,0,,
Laura Alleway,5.0,au AUS,CB,27-152,90,0,0,0,0,,,1,0,,,,,,,0,,
Ali Krieger,11.0,us USA,RB,32-275,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,24.0,us USA,GK,31-192,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,991,1,1,0,0,,,1,0,,,,,,,0,,
