Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Marian Dougherty,,us USA,DF,28-248,84,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Casey Ramirez,,us USA,DF,23-235,6,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",23-264,90,0,0,0,0,1,0,0,0,0,0,,,,,0,,
Tobin Heath,,us USA,"FW,MF",25-063,90,0,1,0,0,5,3,1,0,2,4,,,,,0,,
Karina LeBlanc,,ca CAN,GK,33-123,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Allie Long,,us USA,"FW,MF",25-352,90,1,0,0,0,3,2,0,0,1,1,,,,,0,,
Nikki Marshall,,us USA,"DF,FW",25-059,90,0,0,0,0,1,0,0,0,1,0,,,,,1,,
Alex Morgan,,us USA,FW,24-029,90,1,0,0,0,8,6,1,0,3,1,,,,,0,,
Meleana Shim,,us USA,MF,21-309,76,1,1,0,0,5,2,0,0,0,1,,,,,0,,
Courtney Wetzel,,us USA,"DF,MF",24-156,14,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Christine Sinclair,,ca CAN,"FW,MF",30-049,90,0,0,0,0,2,0,0,0,0,0,,,,,0,,
Rachel Van Hollebeke,,us USA,DF,27-339,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kat Williamson,,us USA,DF,23-364,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
13 Players,,,,,990,3,2,0,0,25,13,2,0,7,7,,,,,1,,
