Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Amy Barczuk,,us USA,DF,24-281,90,0,0,0,0,,,0,0,,,,,,,0,,
Maddy Evans,,us USA,"DF,MF",24-106,72,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Verdoia,,us USA,MF,22-215,18,0,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,,us USA,DF,23-091,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Lazo,,us USA,DF,22-092,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie McCaffrey,,us USA,FW,22-168,72,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Marlborough,,us USA,FW,24-245,18,0,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,,us USA,"DF,MF",24-161,90,1,0,1,1,,,0,0,,,,,,,0,,
Alyssa Naeher,,us USA,GK,27-107,90,0,0,0,0,,,0,0,,,,,,,0,,
Mollie Pathman,,us USA,"FW,MF",23-035,90,0,0,0,0,,,0,0,,,,,,,0,,
Suzane Pires,,pt POR,MF,22-353,59,0,0,0,0,,,1,0,,,,,,,0,,
Nkem Ezurike,,ca CAN,FW,23-139,31,0,0,0,0,,,0,0,,,,,,,0,,
Katie Schoepfer,,us USA,FW,26-268,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Wood,,us USA,"DF,MF",25-087,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,1,1,,,1,0,,,,,,,0,,
