Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,25-092,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Cox,,us USA,DF,28-150,90,0,0,0,0,,,0,0,,,,,,,0,,
Jess Fishlock,,wls WAL,MF,27-229,90,0,0,0,0,,,0,0,,,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",29-298,90,0,0,0,0,,,0,0,,,,,,,0,,
Nahomi Kawasumi,,jp JPN,"FW,MF",28-342,90,0,0,0,0,,,0,0,,,,,,,0,,
Sydney Leroux,,us USA,"FW,MF",24-116,66,0,0,0,0,,,0,0,,,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",26-043,24,0,0,0,0,,,0,0,,,,,,,0,,
Kim Little,,sct SCO,"FW,MF",24-063,90,0,0,0,0,,,0,0,,,,,,,0,,
Megan Rapinoe,,us USA,"FW,MF",29-057,90,1,0,0,0,,,0,0,,,,,,,0,,
Elli Reed,,us USA,"DF,MF",25-021,83,0,0,0,0,,,0,0,,,,,,,0,,
Mariah Bullock,,ws SAM,"DF,MF",23-190,7,0,0,0,0,,,0,0,,,,,,,0,,
Hope Solo,,us USA,GK,33-032,90,0,0,0,0,,,1,0,,,,,,,0,,
Keelin Winters,,us USA,MF,25-265,90,0,1,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
