Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,25-343,90,1,0,0,0,,,0,0,,,,,,,0,,
Stephanie Cox,,us USA,DF,29-036,90,0,0,0,0,,,0,0,,,,,,,0,,
Kiersten Dallstream,,us USA,"DF,FW",27-065,55,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",25-181,35,0,0,0,0,,,0,0,,,,,,,0,,
Jess Fishlock,,wls WAL,MF,28-115,90,0,0,0,0,,,1,0,,,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",30-184,90,0,0,0,0,,,0,0,,,,,,,0,,
Haley Kopmeyer,,us USA,GK,24-315,90,0,0,0,0,,,0,0,,,,,,,0,,
Kim Little,,sct SCO,"FW,MF",24-314,90,0,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",24-311,84,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,,us USA,"DF,MF",24-106,6,0,0,0,0,,,0,0,,,,,,,0,,
Elli Reed,,us USA,"DF,MF",25-272,90,0,0,0,0,,,0,0,,,,,,,0,,
Keelin Winters,,us USA,MF,26-151,90,0,0,0,0,,,0,0,,,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",26-294,84,0,0,0,0,,,0,0,,,,,,,0,,
Mariah Bullock,,ws SAM,"DF,MF",24-076,6,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,0,0,,,1,0,,,,,,,0,,
