Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Brittany Cameron,,us USA,GK,28-157,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsi Cutshall,,us USA,DF,24-203,90,0,0,0,0,,,0,0,,,,,,,0,,
Katy Freels,,us USA,MF,25-031,90,0,0,0,0,,,0,0,,,,,,,0,,
Shawna Gordon,,us USA,MF,25-111,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristin Grubka,,us USA,DF,22-143,90,0,0,0,0,,,1,0,,,,,,,0,,
Camille Levin,,us USA,DF,25-015,84,0,0,0,0,,,0,0,,,,,,,0,,
Kim DeCesare,,us USA,"FW,MF",23-271,6,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Lytle,,us USA,MF,26-039,69,0,0,0,0,,,0,0,,,,,,,0,,
Maya Hayes,,us USA,FW,23-044,21,0,0,0,0,,,0,0,,,,,,,0,,
Hayley McCall,,us USA,DF,23-056,90,0,0,0,0,,,0,0,,,,,,,0,,
Meg Morris,,us USA,MF,22-363,90,0,0,0,0,,,0,0,,,,,,,0,,
Nadia Nadim,,dk DEN,"FW,MF",27-127,90,1,0,1,1,,,1,0,,,,,,,0,,
Sarah Woldmoe,,us USA,MF,22-286,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,0,1,1,,,2,0,,,,,,,0,,
