Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Yael Averbuch,10.0,us USA,"DF,MF",29-186,90,1.0,0.0,,,4.0,1.0,,,1,0,0.0,,,,,,
Nicole Barnhart,18.0,us USA,GK,34-210,90,,,,,,,,,0,0,,,,,,,
Jen Buczkowski,6.0,us USA,"DF,MF",31-033,82,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Alex Arlitt,5.0,us USA,DF,22-256,8,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Amanda Frisbie,17.0,us USA,DF,23-344,90,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Shea Groom,2.0,us USA,"FW,MF",23-064,90,0.0,0.0,,,4.0,2.0,,,1,2,0.0,,,,,,
Brittany Kolmel,13.0,us USA,DF,28-232,90,0.0,0.0,,,1.0,0.0,,,2,1,0.0,,,,,,
Mandy Laddish,7.0,us USA,MF,23-360,90,0.0,0.0,,,2.0,2.0,,,1,1,1.0,,,,,,
Heather O'Reilly,9.0,us USA,"FW,MF",31-126,82,0.0,0.0,,,0.0,0.0,,,0,2,1.0,,,,,,
Frances Silva,11.0,us USA,"FW,MF",23-178,8,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Becky Sauerbrunn,4.0,us USA,DF,30-336,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Desiree Scott,3.0,ca CAN,MF,28-281,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Erika Tymrak,,us USA,"FW,MF",24-274,78,0.0,0.0,,,0.0,0.0,,,0,3,0.0,,,,,,
Alexa Newfield,88.0,us USA,FW,24-156,13,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
14 Players,,,,,991,1.0,0.0,,,12.0,5.0,,,7,11,2.0,,,,,,
