Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Jamia Fields,4.0,us USA,FW,23-239,90,0,0,0,0,,,0,0,,,,,,,0,,
Marta,10.0,br BRA,FW,31-091,90,1,0,0,0,,,1,0,,,,,,,0,,
Jasmyne Spencer,23.0,us USA,FW,26-267,77,0,0,0,0,,,0,0,,,,,,,0,,
Maddy Evans,18.0,us USA,"DF,MF",26-030,13,0,0,0,0,,,0,0,,,,,,,0,,
Camila,9.0,br BRA,CM,22-223,87,0,1,0,0,,,1,0,,,,,,,0,,
Danica Evans,8.0,us USA,FW,21-353,3,0,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,CM,23-065,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Edmonds,12.0,us USA,CM,29-364,90,0,0,0,0,,,0,0,,,,,,,0,,
Steph Catley,7.0,au AUS,LB,23-115,90,0,0,0,0,,,0,0,,,,,,,0,,
Toni Pressley,3.0,us USA,CB,27-091,90,0,0,0,0,,,0,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,CB,22-120,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,RB,32-297,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,24.0,us USA,GK,31-214,25,0,0,0,0,,,0,0,,,,,,,0,,
Caroline Stanley,40.0,us USA,GK,24-066,65,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,2,0,,,,,,,0,,
