Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Zakiya Bywaters,,us USA,FW,22-295,64,0,0,0,0,1,0,0,0,1,0,,,,,0,,
Alyssa Mautz,,us USA,"FW,MF",24-290,26,0,0,0,0,0,0,1,0,1,0,,,,,0,,
Lori Chalupny,,us USA,MF,30-106,90,1,0,0,0,2,1,0,0,4,3,,,,,0,,
Vanessa DiBernardo,,us USA,MF,22-000,90,0,0,0,0,2,1,0,0,0,1,,,,,0,,
Julie Ertz,,us USA,"DF,MF",22-039,90,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Jen Hoy,,us USA,"FW,MF",23-117,80,1,0,0,0,1,1,0,0,1,0,,,,,0,,
Hayley Brock,,us USA,FW,21-285,10,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Samantha Johnson,,us USA,"DF,MF",22-339,90,0,1,0,0,0,0,0,0,0,4,,,,,0,,
Karina LeBlanc,,ca CAN,GK,34-046,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Adriana Leon,,ca CAN,"FW,MF",21-225,90,0,1,0,0,2,1,1,0,6,1,,,,,0,,
Michelle Lomnicki,,us USA,DF,27-012,90,1,0,0,0,3,2,0,0,0,0,,,,,0,,
Rachel Quon,,ca CAN,DF,22-359,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Jackie Santacaterina,,us USA,DF,26-137,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
13 Players,,,,,990,3,2,0,0,11,6,2,0,15,12,,,,,0,,
