Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christen Press,23.0,us USA,FW,28-114,90,0,0,0,1,,,0,0,,,,,,,0,,
Jen Hoy,2.0,us USA,FW,26-094,71,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie McCaffrey,9.0,us USA,FW,24-063,19,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,LM,23-351,90,0,0,0,0,,,0,0,,,,,,,0,,
Vanessa DiBernardo,10.0,us USA,CM,24-342,90,0,0,0,0,,,0,0,,,,,,,0,,
Julie Ertz,8.0,us USA,CM,25-016,87,1,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,"FW,MF",27-267,3,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,11.0,us USA,RM,24-129,86,0,1,0,0,,,0,0,,,,,,,0,,
Morgan Proffitt,13.0,us USA,MF,22-243,4,0,0,0,0,,,0,0,,,,,,,0,,
Casey Krueger,6.0,us USA,LB,26-242,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,23-066,90,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,25-316,90,0,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,RB,24-118,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,29-002,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,1,,,0,0,,,,,,,0,,
