Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Marian Dougherty,2.0,us USA,DF,28-175,90,0,0,0,0,1,1,0,0,0,1,0,0,,,,,
Becky Edwards,14.0,us USA,"DF,MF",24-362,90,0,0,0,0,1,1,0,0,1,1,0,0,,,,,
Karina LeBlanc,1.0,ca CAN,GK,33-050,90,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
Allie Long,10.0,us USA,"FW,MF",25-279,89,0,1,0,0,0,0,0,0,2,0,0,0,,,,,
Jessica Shufelt,18.0,us USA,FW,22-355,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Nikki Marshall,7.0,us USA,"DF,FW",24-351,90,0,0,0,0,0,0,1,0,2,1,1,0,,,,,
Alex Morgan,13.0,us USA,FW,23-321,90,1,0,0,0,6,3,0,0,0,1,1,0,,,,,
Meleana Shim,6.0,us USA,MF,21-236,77,0,0,0,0,1,0,0,0,1,2,0,0,,,,,
Angie Kerr,8.0,us USA,"FW,MF",28-051,13,0,0,0,0,1,1,0,0,0,1,0,0,,,,,
Christine Sinclair,12.0,ca CAN,"FW,MF",29-341,90,1,0,0,0,4,2,0,0,0,1,1,0,,,,,
Rachel Van Hollebeke,16.0,us USA,DF,27-266,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Nikki Washington,21.0,us USA,"FW,MF",24-291,70,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Courtney Wetzel,20.0,us USA,"DF,MF",24-083,20,0,1,0,0,0,0,0,0,0,0,0,0,,,,,
Kat Williamson,5.0,us USA,DF,23-291,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
14 Players,,,,,990,2,2,0,0,14,8,1,0,7,9,3,0,,,,,
