Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Alex Morgan,13.0,us USA,FW,28-062,90,0,1,0,0,,,0,0,,,,,,,0,,
Chioma Ubogagu,6.0,eng ENG,AM,24-357,83,1,1,0,0,,,0,0,,,,,,,0,,
Danica Evans,8.0,us USA,FW,22-092,7,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Hill,15.0,us USA,AM,22-138,90,2,0,0,0,,,0,0,,,,,,,0,,
Marta,10.0,br BRA,AM,31-195,81,1,0,0,0,,,0,0,,,,,,,0,,
Jamia Fields,4.0,us USA,FW,23-343,9,0,0,0,0,,,0,0,,,,,,,0,,
Alanna Kennedy,14.0,au AUS,DM,22-224,90,0,0,0,0,,,0,0,,,,,,,0,,
Dani Weatherholt,17.0,us USA,DM,23-169,85,0,0,0,0,,,0,0,,,,,,,0,,
Nickolette Driesse,20.0,pr PUR,MF,22-298,5,0,0,0,0,,,0,0,,,,,,,0,,
Steph Catley,7.0,au AUS,LB,23-219,90,0,0,0,0,,,0,0,,,,,,,0,,
Ali Krieger,11.0,us USA,CB,33-036,90,0,0,0,0,,,0,0,,,,,,,0,,
Mônica,21.0,br BRA,CB,39-151,90,0,0,0,0,,,0,0,,,,,,,0,,
Camila,9.0,br BRA,RB,22-327,90,0,0,0,0,,,0,0,,,,,,,0,,
Ashlyn Harris,24.0,us USA,GK,31-318,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,4,2,0,0,,,0,0,,,,,,,0,,
