Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Havana Solaun,9.0,jm JAM,FW,24-199,61,0,0,0,0,,,0,0,,,,,,,0,,
Mallory Swanson,11.0,us USA,"FW,MF",19-134,29,1,0,0,0,,,0,0,,,,,,,0,,
Cheyna Matthews,20.0,jm JAM,FW,23-304,70,0,0,0,0,,,0,0,,,,,,,0,,
Cali Farquharson,17.0,us USA,FW,23-267,20,0,0,0,0,,,0,0,,,,,,,0,,
Lindsay Agnew,8.0,ca CAN,FW,22-163,85,0,1,0,0,,,0,0,,,,,,,0,,
Tori Huster,23.0,us USA,"DF,MF",27-352,5,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Kleiner,22.0,us USA,CM,24-162,90,0,0,0,0,,,0,0,,,,,,,0,,
Meggie Dougherty Howard,29.0,us USA,CM,22-045,90,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Proffitt,12.0,us USA,CM,23-019,90,0,0,0,0,,,0,0,,,,,,,0,,
Kassey Kallman,6.0,us USA,LB,25-127,90,0,0,0,0,,,0,0,,,,,,,0,,
Whitney Church,5.0,us USA,CB,24-133,90,1,0,0,0,,,0,0,,,,,,,0,,
Shelina Zadorsky,4.0,ca CAN,CB,24-321,90,0,1,0,0,,,0,0,,,,,,,0,,
Caprice Dydasco,3.0,us USA,RB,24-022,90,0,0,0,0,,,0,0,,,,,,,0,,
DiDi Haracic,21.0,ba BIH,GK,25-151,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,0,0,,,,,,,0,,
