Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Christine Sinclair,12.0,ca CAN,FW,34-019,90,0,0,0,0,,,1,0,,,,,,,0,,
Meleana Shim,6.0,us USA,LM,25-279,59,0,0,0,0,,,0,0,,,,,,,0,,
Ashleigh Sykes,14.0,au AUS,FW,25-198,31,0,0,0,0,,,0,0,,,,,,,0,,
Hayley Raso,21.0,au AUS,FW,22-299,90,0,0,0,0,,,1,0,,,,,,,0,,
Lindsey Heaps,7.0,us USA,CM,23-036,90,0,0,0,0,,,0,0,,,,,,,0,,
Allie Long,10.0,us USA,CM,29-322,90,0,0,0,0,,,0,0,,,,,,,0,,
Amandine Henry,28.0,fr FRA,RM,27-276,90,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,CB,28-333,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Menges,4.0,us USA,CB,24-338,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,23-218,90,0,0,0,0,,,0,0,,,,,,,0,,
Dagný Brynjarsdóttir,11.0,is ISL,CM,25-325,90,0,0,0,0,,,1,0,,,,,,,0,,
Adrianna Franch,24.0,us USA,GK,26-231,90,0,0,0,0,,,0,0,,,,,,,0,,
12 Players,,,,,990,0,0,0,0,,,3,0,,,,,,,0,,
