Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sam Kerr,20.0,au AUS,FW,24-297,90,0,0,0,0,,,0,0,,,,,,,0,,
Rosie White,22.0,nz NZL,FW,25-028,59,0,0,0,0,,,0,0,,,,,,,0,,
Yūki Nagasato,12.0,jp JPN,"FW,MF",30-354,31,1,0,1,1,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,LM,25-059,90,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Gautrat,13.0,us USA,CM,25-128,67,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,2.0,us USA,MF,27-251,23,0,0,0,0,,,0,0,,,,,,,0,,
Julie Ertz,8.0,us USA,CM,26-089,90,0,0,0,0,,,1,0,,,,,,,0,,
Vanessa DiBernardo,10.0,us USA,RM,26-050,73,0,0,0,0,,,0,0,,,,,,,0,,
Summer Green,19.0,us USA,FW,23-040,17,0,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,LB,25-191,90,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Gorden,14.0,us USA,CB,25-294,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,24-139,90,0,0,0,0,,,0,0,,,,,,,0,,
Brooke Elby,23.0,us USA,RB,25-041,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,30-075,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,1,1,,,1,0,,,,,,,0,,
