Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Brittany Cameron,,us USA,GK,27-215,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Lindsi Cutshall,,us USA,DF,23-261,90,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Caitlin Foord,,au AUS,"DF,FW",19-237,90,0,0,0,0,0,0,0,0,1,2,,,,,0,,
Katy Freels,,us USA,MF,24-089,90,0,0,0,0,3,0,0,0,2,0,,,,,0,,
Kendall Johnson,,us USA,"DF,MF",23-073,62,0,0,0,0,0,0,0,0,0,0,,,,,0,,
CoCo Goodson,,us USA,DF,24-017,28,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nanase Kiryū,,jp JPN,FW,24-248,45,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Ashley Nick,,us USA,MF,26-252,45,0,0,0,0,1,1,0,0,2,0,,,,,0,,
Camille Levin,,us USA,DF,24-073,90,0,0,0,0,0,0,0,0,1,1,,,,,0,,
Kelley O'Hara,,us USA,"DF,FW",25-336,90,0,0,0,0,5,2,0,0,1,0,,,,,0,,
Mónica Ocampo,,mx MEX,FW,27-183,45,0,0,0,0,2,0,0,0,0,0,,,,,0,,
Nadia Nadim,,dk DEN,"FW,MF",26-185,45,0,0,0,0,4,1,1,0,1,0,,,,,0,,
Christie Pearce,,us USA,DF,39-012,90,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Sophie Schmidt,,ca CAN,MF,26-008,90,0,0,0,0,2,2,0,0,1,0,,,,,0,,
14 Players,,,,,990,0,0,0,0,19,7,1,0,9,4,,,,,0,,
