Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,3.0,us USA,DF,23-318,90,0,0,0,0,0,0,0,0,1,1,0,0,,,,,
Michelle Betos,18.0,us USA,GK,25-053,90,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Liz Bogus,5.0,us USA,"FW,MF",29-049,61,0,1,0,0,0,0,0,0,0,0,0,2,,,,,
Teresa Noyola,8.0,mx MEX,"FW,MF",22-364,29,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Kiersten Dallstream,25.0,us USA,"DF,FW",25-040,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Lyndsey Patterson,16.0,us USA,"FW,MF",30-128,34,0,0,0,0,0,0,0,0,0,0,0,1,,,,,
Kate Deines,4.0,us USA,"DF,MF",23-209,90,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Jess Fishlock,10.0,wls WAL,MF,26-090,89,0,0,0,0,1,0,1,0,4,4,0,0,,,,,
Kristen Meier,21.0,us USA,"DF,MF",22-065,1,0,0,0,0,0,0,0,0,1,0,0,0,,,,,
Kaylyn Kyle,6.0,ca CAN,MF,24-190,90,0,0,0,0,1,0,1,0,1,2,3,0,,,,,
Christine Nairn,19.0,us USA,MF,22-201,90,1,0,0,0,1,1,0,0,3,1,0,3,,,,,
Jenny Ruiz-Williams,13.0,mx MEX,"DF,MF",29-248,90,0,0,0,0,0,0,0,0,0,1,0,1,,,,,
Keelin Winters,11.0,us USA,MF,24-126,90,0,0,0,0,0,0,0,0,1,2,0,2,,,,,
Emily Zurrer,2.0,ca CAN,DF,25-276,90,0,0,0,0,0,0,0,0,0,4,0,0,,,,,
14 Players,,,,,990,1,1,0,0,3,1,2,0,12,15,3,9,,,,,
