Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,"FW,MF",23-000,79,1.0,0.0,,,3.0,2.0,,,1,1,1.0,,,,,,
Kristen Hamilton,17.0,us USA,"FW,MF",24-034,11,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Sabrina D'Angelo,1.0,ca CAN,GK,23-010,90,,,,,,,,,1,0,,,,,,,
Abby Dahlkemper,13.0,us USA,"DF,MF",23-008,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Jaelene Daniels,15.0,us USA,DF,22-359,90,0.0,2.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Makenzy Doniak,3.0,us USA,"FW,MF",22-086,72,0.0,1.0,,,0.0,0.0,,,0,1,1.0,,,,,,
Adriana Leon,19.0,ca CAN,"FW,MF",23-232,18,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Elizabeth Eddy,4.0,us USA,"DF,MF",24-251,90,0.0,0.0,,,0.0,0.0,,,2,0,0.0,,,,,,
Michaela Hahn,2.0,us USA,MF,22-032,90,1.0,0.0,,,2.0,1.0,,,1,0,0.0,,,,,,
Alanna Kennedy,8.0,au AUS,"DF,MF",21-121,90,0.0,0.0,,,1.0,0.0,,,3,0,0.0,,,,,,
Jessica McDonald,14.0,us USA,FW,28-083,90,2.0,0.0,,,4.0,2.0,,,0,0,0.0,,,,,,
Sam Mewis,5.0,us USA,MF,23-225,90,1.0,0.0,,,1.0,1.0,,,0,1,0.0,,,,,,
Meredith Speck,25.0,us USA,MF,23-110,66,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Taylor Smith,11.0,us USA,"DF,FW",22-172,24,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
14 Players,,,,,990,5.0,3.0,,,12.0,6.0,,,12,3,2.0,,,,,,
