Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Mallory Weber,26.0,us USA,FW,24-031,45,0,0,0,0,,,0,0,,,,,,,0,,
Tobin Heath,17.0,us USA,"FW,MF",29-341,45,0,0,0,0,,,0,0,,,,,,,0,,
Ana-Maria Crnogorčević,7.0,ch SUI,FW,27-214,90,0,0,0,0,,,0,0,,,,,,,0,,
Christine Sinclair,12.0,ca CAN,AM,34-327,90,0,0,0,0,,,0,0,,,,,,,0,,
Lindsey Heaps,10.0,us USA,DM,23-344,90,1,0,0,0,,,0,0,,,,,,,0,,
Celeste Boureille,30.0,us USA,DM,24-015,45,0,0,0,0,,,0,0,,,,,,,0,,
Andressinha,8.0,br BRA,MF,23-004,45,0,0,0,0,,,0,0,,,,,,,0,,
Meghan Klingenberg,25.0,us USA,DM,29-276,90,0,1,0,0,,,0,0,,,,,,,0,,
Margaret Purce,23.0,us USA,DM,22-229,90,0,0,0,0,,,0,0,,,,,,,0,,
Kelli Hubly,20.0,us USA,CB,23-269,90,0,0,0,0,,,0,0,,,,,,,0,,
Emily Sonnett,16.0,us USA,CB,24-161,90,1,0,0,0,,,0,0,,,,,,,0,,
Katherine Reynolds,2.0,us USA,CB,30-233,90,0,0,0,0,,,0,0,,,,,,,0,,
Britt Eckerstrom,33.0,us USA,GK,24-342,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,2,1,0,0,,,0,0,,,,,,,0,,
