Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,26-027,90,0,0,0,0,,,1,0,,,,,,,0,,
Mariah Bullock,,ws SAM,"DF,MF",24-125,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Corsie,,sct SCO,"DF,MF",25-314,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Cox,,us USA,DF,29-085,90,0,0,0,0,,,0,0,,,,,,,0,,
Jess Fishlock,,wls WAL,MF,28-164,90,0,0,0,0,,,0,0,,,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",30-233,90,0,1,0,0,,,0,0,,,,,,,0,,
Haley Kopmeyer,,us USA,GK,24-364,90,0,0,0,0,,,0,0,,,,,,,0,,
Kim Little,,sct SCO,"FW,MF",24-363,86,1,0,0,0,,,0,0,,,,,,,0,,
Kiersten Dallstream,,us USA,"DF,FW",27-114,4,0,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",24-360,59,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",25-230,31,0,1,0,0,,,0,0,,,,,,,0,,
Keelin Winters,,us USA,MF,26-200,90,0,0,0,0,,,0,0,,,,,,,0,,
Beverly Yanez,,us USA,"FW,MF",26-343,67,1,0,0,0,,,0,0,,,,,,,0,,
Elli Reed,,us USA,"DF,MF",25-321,23,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,1,0,,,,,,,0,,
