Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Katie Stengel,23.0,us USA,FW,25-171,71,0,0,0,0,,,1,0,,,,,,,0,,
Natasha Dowie,9.0,eng ENG,FW,29-050,19,0,0,0,0,,,0,0,,,,,,,0,,
Ifeoma Onumonu,22.0,ng NGA,FW,23-175,90,0,0,0,0,,,0,0,,,,,,,0,,
Morgan Andrews,25.0,us USA,CM,22-147,75,0,0,0,0,,,1,0,,,,,,,0,,
Amanda DaCosta,5.0,pt POR,MF,27-316,15,1,0,1,1,,,0,0,,,,,,,0,,
Angela Salem,26.0,us USA,CM,29-026,90,0,0,0,0,,,0,0,,,,,,,0,,
Rosie White,10.0,nz NZL,CM,24-074,90,0,0,0,0,,,0,0,,,,,,,0,,
Amanda Frisbie,17.0,us USA,LB,25-082,90,0,0,0,0,,,0,0,,,,,,,0,,
Allysha Chapman,2.0,ca CAN,FW,28-206,63,0,0,0,0,,,0,0,,,,,,,0,,
Adriana Leon,19.0,ca CAN,"FW,MF",24-321,27,0,0,0,0,,,0,0,,,,,,,0,,
Julie King,8.0,us USA,CB,27-302,90,0,0,0,0,,,1,0,,,,,,,0,,
Megan Oyster,4.0,us USA,CB,24-350,90,0,0,0,0,,,0,0,,,,,,,0,,
Margaret Purce,21.0,us USA,RB,21-335,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Smith,14.0,us USA,GK,23-319,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,0,1,1,,,3,0,,,,,,,0,,
