Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",28-244,90,0,0,0,0,,,0,0,,,,,,,0,,
Yael Averbuch,,us USA,"DF,MF",28-166,81,0,0,0,0,,,0,0,,,,,,,0,,
Shea Groom,,us USA,"FW,MF",22-045,9,0,0,0,0,,,1,0,,,,,,,0,,
Nicole Barnhart,,us USA,GK,33-190,90,0,0,0,0,,,0,0,,,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",30-014,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Holiday,,us USA,"FW,MF",27-200,90,0,1,0,0,,,0,0,,,,,,,0,,
Amy LePeilbet,,us USA,DF,33-037,90,0,0,0,0,,,1,0,,,,,,,0,,
Rebecca Moros,,us USA,"DF,FW",29-347,70,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Hagen,,us USA,FW,25-151,20,0,0,0,0,,,0,0,,,,,,,0,,
Heather O'Reilly,,us USA,"FW,MF",30-106,90,1,0,0,0,,,0,0,,,,,,,0,,
Amy Rodriguez,,us USA,"FW,MF",28-060,90,0,0,0,0,,,0,0,,,,,,,0,,
Becky Sauerbrunn,,us USA,DF,29-316,90,0,0,0,0,,,0,0,,,,,,,0,,
Erika Tymrak,,us USA,"FW,MF",23-254,70,0,0,0,0,,,0,0,,,,,,,0,,
Liz Bogus,,us USA,"FW,MF",31-053,20,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,2,0,,,,,,,0,,
