Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Leigh Ann Brown,,us USA,"DF,MF",27-245,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Nicole Barnhart,,us USA,GK,32-191,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Liz Bogus,,us USA,"FW,MF",30-054,66,0,0,0,0,3,1,0,0,0,0,,,,,0,,
Jenna Richmond,,us USA,MF,22-122,24,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Jen Buczkowski,,us USA,"DF,MF",29-015,90,0,0,0,0,0,0,0,0,2,1,,,,,0,,
Lauren Holiday,,us USA,"FW,MF",26-201,90,0,0,0,1,4,2,0,0,2,1,,,,,0,,
Kassey Kallman,,us USA,DF,21-348,90,0,0,0,0,1,1,1,0,3,0,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",23-291,66,0,0,0,0,0,0,0,0,1,2,,,,,0,,
Frances Silva,,us USA,"FW,MF",21-159,24,0,0,0,0,0,0,0,0,0,2,,,,,0,,
Nikki Phillips,,pl POL,"DF,MF",26-331,44,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Nia Williams,,us USA,DF,23-212,46,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Amy Rodriguez,,us USA,"FW,MF",27-061,90,1,0,0,0,3,2,0,0,1,3,,,,,0,,
Becky Sauerbrunn,,us USA,DF,28-317,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Erika Tymrak,,us USA,"FW,MF",22-255,90,0,0,0,0,2,0,0,0,0,0,,,,,0,,
14 Players,,,,,990,1,0,0,1,17,8,1,0,9,10,,,,,0,,
