Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sam Kerr,20.0,au AUS,FW,24-258,90,2,0,0,0,,,0,0,,,,,,,0,,
Yūki Nagasato,12.0,jp JPN,AM,30-315,90,0,2,0,0,,,0,0,,,,,,,0,,
Michele Vasconcelos,15.0,us USA,AM,24-015,45,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,"FW,MF",28-301,45,0,0,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,11.0,us USA,AM,25-163,63,0,0,0,0,,,0,0,,,,,,,0,,
Rosie White,22.0,nz NZL,"FW,MF",24-354,27,0,0,0,0,,,0,0,,,,,,,0,,
Julie Ertz,8.0,us USA,DM,26-050,90,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,DM,25-020,45,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Gorden,14.0,us USA,DF,25-255,45,0,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,LB,25-152,90,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,26-350,90,0,0,0,0,,,1,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,24-100,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,7.0,us USA,RB,24-309,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,30-036,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,1,0,,,,,,,0,,
