Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sydney Leroux,14.0,us USA,FW,27-013,90,0,1,0,0,,,0,0,,,,,,,0,,
Brittany Ratcliffe,25.0,us USA,AM,23-102,86,0,0,0,0,,,0,0,,,,,,,0,,
Desiree Scott,11.0,ca CAN,MF,29-293,4,0,0,0,0,,,0,0,,,,,,,0,,
Shea Groom,2.0,us USA,AM,24-077,72,0,0,0,0,,,0,0,,,,,,,0,,
Katie Bowen,6.0,nz NZL,"DF,MF",23-035,18,0,0,0,0,,,0,0,,,,,,,0,,
Alexa Newfield,88.0,us USA,AM,25-168,81,1,0,0,0,,,0,0,,,,,,,0,,
Caroline Flynn,21.0,us USA,MF,,9,0,0,0,0,,,0,0,,,,,,,0,,
Rebecca Moros,3.0,us USA,DM,32-014,90,0,0,0,0,,,0,0,,,,,,,0,,
Lo'eau LaBonta,9.0,us USA,DM,24-063,90,0,0,0,0,,,0,0,,,,,,,0,,
Christina Gibbons,31.0,us USA,LB,22-141,90,0,0,0,0,,,0,0,,,,,,,0,,
Yael Averbuch,10.0,us USA,CB,30-198,90,0,0,0,0,,,0,0,,,,,,,0,,
Becky Sauerbrunn,4.0,us USA,CB,31-348,90,0,0,0,0,,,1,0,,,,,,,0,,
Brittany Kolmel,13.0,us USA,RB,29-244,90,0,0,0,0,,,0,0,,,,,,,0,,
Nicole Barnhart,18.0,us USA,GK,35-222,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
