Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lauren Barnes,,us USA,DF,26-090,90,0,0,0,0,,,0,0,,,,,,,0,,
Rachel Corsie,,sct SCO,"DF,MF",26-012,90,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie Cox,,us USA,DF,29-148,90,0,0,0,0,,,0,0,,,,,,,0,,
Jess Fishlock,,wls WAL,MF,28-227,90,1,0,0,0,,,0,0,,,,,,,0,,
Kendall Fletcher,,us USA,"DF,MF",30-296,90,0,0,0,0,,,0,0,,,,,,,0,,
Kim Little,,sct SCO,"FW,MF",25-061,90,0,1,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,,us USA,"DF,MF",25-058,79,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Foxhoven,,us USA,"FW,MF",25-293,11,0,0,0,0,,,0,0,,,,,,,0,,
Megan Rapinoe,,us USA,"FW,MF",30-055,90,0,0,0,0,,,0,0,,,,,,,0,,
Hope Solo,,us USA,GK,34-030,90,0,0,0,0,,,0,0,,,,,,,0,,
Katrine Veje,,dk DEN,"DF,MF",24-071,79,0,0,0,0,,,0,0,,,,,,,0,,
Elli Reed,,us USA,"DF,MF",26-019,11,0,0,0,0,,,0,0,,,,,,,0,,
Keelin Winters,,us USA,MF,26-263,70,0,0,0,0,,,1,0,,,,,,,0,,
Mariah Bullock,,ws SAM,"DF,MF",24-188,20,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
