Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Andressinha,17.0,br BRA,MF,21-042,90,0.0,0.0,,,3.0,2.0,,,0,2,0.0,,,,,,
Amber Brooks,12.0,us USA,"DF,MF",25-141,90,0.0,0.0,,,0.0,0.0,,,1,0,0.0,,,,,,
Ellie Brush,8.0,au AUS,DF,27-298,90,0.0,0.0,,,1.0,0.0,,,1,0,0.0,,,,,,
Allysha Chapman,15.0,ca CAN,DF,27-139,80,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Stephanie Ochs,22.0,us USA,FW,25-288,10,0.0,0.0,,,0.0,0.0,,,0,0,0.0,,,,,,
Morgan Gautrat,6.0,us USA,MF,23-107,90,0.0,0.0,,,1.0,1.0,,,1,1,1.0,,,,,,
Poliana,2.0,br BRA,DF,25-127,90,0.0,0.0,,,0.0,0.0,,,1,1,0.0,,,,,,
Cari Roccaro,5.0,us USA,"DF,MF",21-330,90,0.0,0.0,,,0.0,0.0,,,0,1,0.0,,,,,,
Janine Sonis,11.0,ca CAN,"FW,MF",21-297,78,0.0,0.0,,,1.0,0.0,,,0,0,1.0,,,,,,
Denise O'Sullivan,13.0,ie IRL,"FW,MF",22-129,12,0.0,0.0,,,0.0,0.0,,,0,0,1.0,,,,,,
Chioma Ubogagu,9.0,eng ENG,"FW,MF",23-276,90,0.0,0.0,,,2.0,1.0,,,1,0,0.0,,,,,,
Kealia Watt,7.0,us USA,"FW,MF",24-133,90,0.0,0.0,,,1.0,0.0,,,0,0,2.0,,,,,,
Lydia Williams,18.0,au AUS,GK,28-030,90,,,,,,,,,0,0,,,,,,,
13 Players,,,,,990,0.0,0.0,,,9.0,4.0,,,6,6,5.0,,,,,,
