Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Michele Vasconcelos,15.0,us USA,FW,23-318,73,0,0,0,0,,,0,0,,,,,,,0,,
Erin Yenney,25.0,us USA,MF,25-156,17,0,0,0,0,,,0,0,,,,,,,0,,
Summer Green,19.0,us USA,FW,22-304,58,0,0,0,0,,,0,0,,,,,,,0,,
Sarah Gorden,14.0,us USA,DF,25-193,32,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,FW,28-239,90,0,0,0,0,,,0,0,,,,,,,0,,
Lauren Kaskie,13.0,us USA,CM,22-188,63,0,0,0,0,,,0,0,,,,,,,0,,
Nikki Stanton,2.0,us USA,MF,27-150,27,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,CM,24-323,90,0,1,0,0,,,0,0,,,,,,,0,,
Sofia Huerta,11.0,us USA,CM,25-101,90,0,0,0,0,,,0,0,,,,,,,0,,
Arin Wright,3.0,us USA,LB,25-090,90,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,26-288,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,24-038,90,0,0,0,0,,,1,0,,,,,,,0,,
Taylor Comeau,7.0,us USA,RB,24-247,90,1,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,29-339,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
