Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sonia Bermúdez,,es ESP,FW,29-166,90,1,0,0,0,3,1,0,0,0,3,,,,,0,,
Kristen Edmonds,,us USA,"DF,MF",26-346,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Sam Kerr,,au AUS,"FW,MF",20-235,72,0,0,0,0,2,0,0,0,0,0,,,,,0,,
Jasmyne Spencer,,us USA,"DF,FW",23-249,18,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Brittany Kolmel,,us USA,DF,26-227,90,0,0,0,0,0,0,0,0,2,1,,,,,0,,
Vicky Losada,,es ESP,MF,23-059,73,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Courtney Wetzel,,us USA,"DF,MF",25-067,17,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Katherine Reynolds,,us USA,DF,26-231,90,0,0,0,0,0,0,0,0,1,0,,,,,0,,
Angela Salem,,us USA,"FW,MF",25-283,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Abby Wambach,,us USA,FW,33-335,90,0,0,0,0,2,2,0,0,1,2,,,,,0,,
Lydia Williams,,au AUS,GK,25-355,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Kat Williamson,,us USA,DF,24-275,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
McCall Zerboni,,us USA,MF,27-141,82,0,0,0,0,1,0,0,0,0,1,,,,,0,,
Amy Barczuk,,us USA,DF,23-187,8,0,0,0,0,0,0,0,0,0,0,,,,,0,,
14 Players,,,,,990,1,0,0,0,8,3,0,0,5,8,,,,,0,,
