Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Lynn Biyendolo,9.0,us USA,FW,24-342,90,0,0,0,0,,,0,0,,,,,,,0,,
Jessica McDonald,14.0,us USA,FW,30-059,60,0,1,0,0,,,0,0,,,,,,,0,,
Sam Mewis,5.0,us USA,MF,25-201,30,0,0,0,0,,,0,0,,,,,,,0,,
Crystal Dunn,19.0,us USA,LM,25-299,90,1,0,0,0,,,0,0,,,,,,,0,,
Denise O'Sullivan,8.0,ie IRL,CM,24-083,77,0,1,0,0,,,0,0,,,,,,,0,,
Meredith Speck,25.0,us USA,MF,25-086,13,0,0,0,0,,,0,0,,,,,,,0,,
McCall Zerboni,7.0,us USA,CM,31-136,90,0,0,0,0,,,0,0,,,,,,,0,,
Kristen Hamilton,23.0,us USA,RM,26-011,61,1,0,0,0,,,0,0,,,,,,,0,,
Debinha,10.0,br BRA,"FW,MF",26-190,29,0,0,0,0,,,0,0,,,,,,,0,,
Jaelene Daniels,15.0,us USA,LB,24-335,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Erceg,6.0,nz NZL,CB,28-159,90,0,0,0,0,,,0,0,,,,,,,0,,
Abby Dahlkemper,13.0,us USA,CB,24-350,90,0,0,0,0,,,0,0,,,,,,,0,,
Merritt Mathias,11.0,us USA,RB,27-300,90,0,0,0,0,,,1,0,,,,,,,0,,
Sabrina D'Angelo,1.0,ca CAN,GK,24-352,90,0,0,0,0,,,0,0,,,,,,,0,,
14 Players,,,,,990,2,2,0,0,,,1,0,,,,,,,0,,
