Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Nadine Angerer,,de GER,GK,35-230,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Verónica Boquete,,es ESP,"FW,MF",27-080,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Amber Brooks,,us USA,"DF,MF",23-156,68,0,0,0,0,2,0,1,0,3,0,,,,,0,,
Rebecca Moros,,us USA,"DF,FW",29-053,22,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Steph Catley,,au AUS,"DF,MF",20-153,90,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Sinead Farrelly,,ie IRL,MF,24-224,63,0,0,0,0,1,1,0,0,0,0,,,,,0,,
Jessica McDonald,,us USA,FW,26-120,27,0,0,0,0,2,1,0,0,0,0,,,,,0,,
Allie Long,,us USA,"FW,MF",26-319,90,0,0,0,0,1,1,0,0,2,1,,,,,0,,
Nikki Marshall,,us USA,"DF,FW",26-026,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Emily Menges,,us USA,DF,21-335,76,0,0,0,0,0,0,0,0,0,1,,,,,0,,
Sarah Huffman,,us USA,MF,30-115,14,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Alex Morgan,,us USA,FW,24-361,90,0,0,0,0,2,1,0,0,0,1,,,,,0,,
Christine Sinclair,,ca CAN,"FW,MF",31-016,90,0,0,0,0,1,0,0,0,1,1,,,,,0,,
Rachel Van Hollebeke,,us USA,DF,28-306,90,0,0,0,0,0,0,0,0,0,0,,,,,0,,
14 Players,,,,,990,0,0,0,0,9,4,1,0,6,5,,,,,0,,
