Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Sofia Huerta,11.0,us USA,FW,24-172,90,0,1,0,0,,,0,0,,,,,,,0,,
Christen Press,23.0,us USA,FW,28-157,90,1,0,0,0,,,0,0,,,,,,,0,,
Vanessa DiBernardo,10.0,us USA,AM,25-020,89,0,0,0,0,,,0,0,,,,,,,0,,
Stephanie McCaffrey,9.0,us USA,FW,24-106,1,0,0,0,0,,,0,0,,,,,,,0,,
Danielle Colaprico,24.0,us USA,DM,24-029,90,0,0,0,0,,,0,0,,,,,,,0,,
Julie Ertz,8.0,us USA,DM,25-059,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Mautz,4.0,us USA,DM,27-310,84,0,0,0,0,,,0,0,,,,,,,0,,
Jen Hoy,2.0,us USA,"FW,MF",26-137,6,0,0,0,0,,,0,0,,,,,,,0,,
Casey Krueger,6.0,us USA,LB,26-285,90,0,0,0,0,,,0,0,,,,,,,0,,
Samantha Johnson,16.0,us USA,CB,25-359,90,0,0,0,0,,,0,0,,,,,,,0,,
Katie Lind,5.0,us USA,CB,23-109,90,0,0,0,0,,,0,0,,,,,,,0,,
Taylor Comeau,7.0,us USA,RB,23-318,90,0,0,0,0,,,0,0,,,,,,,0,,
Alyssa Naeher,1.0,us USA,GK,29-045,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,0,0,,,,,,,0,,
