Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Fls,Fld,Off,Crs,TklW,Int,OG,PKwon,PKcon
Rachel Daly,3.0,eng ENG,FW,26-154,90,0,0,0,0,,,0,0,,,,,,,0,,
Nichelle Prince,14.0,ca CAN,FW,23-079,87,0,0,0,0,,,0,0,,,,,,,0,,
Savannah Jordan,13.0,us USA,FW,23-105,3,0,0,0,0,,,0,0,,,,,,,0,,
Veronica Latsko,12.0,us USA,FW,22-148,81,0,1,0,0,,,0,0,,,,,,,0,,
Thembi Kgatlana,11.0,za RSA,FW,22-007,9,0,0,0,0,,,0,0,,,,,,,0,,
Kyah Simon,17.0,au AUS,CM,26-318,90,1,0,0,0,,,0,0,,,,,,,0,,
Kristie Mewis,19.0,us USA,CM,27-073,90,0,0,0,0,,,0,0,,,,,,,0,,
Haley Hanson,9.0,us USA,CM,22-096,90,0,0,0,0,,,0,0,,,,,,,0,,
Kimberly Keever,18.0,us USA,LB,22-229,90,0,0,0,0,,,0,0,,,,,,,0,,
Amber Brooks,22.0,us USA,CB,27-106,90,0,0,0,0,,,0,0,,,,,,,0,,
Janine van Wyk,5.0,za RSA,CB,31-022,90,0,0,0,0,,,1,0,,,,,,,0,,
Lindsay Agnew,20.0,ca CAN,RB,23-039,90,0,0,0,0,,,0,0,,,,,,,0,,
Jane Campbell,1.0,us USA,GK,23-081,90,0,0,0,0,,,0,0,,,,,,,0,,
13 Players,,,,,990,1,1,0,0,,,1,0,,,,,,,0,,
